trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time,duration,time_of_day
AH_20230904_b-direction-2.results_27,whites_separate,False,0.5,0,17:15,17:15,1,Afternoon
MM_20230808_a-direction-1.results_1,bullseye_high_freq,False,0.51,-2,15:14,15:14,4,Afternoon
MM_20230808_a-direction-1.results_3,strip,False,0.5,-2,15:14,15:14,3,Afternoon
MM_20230808_a-direction-1.results_5,bullseye_low_separate,True,0.5,-2,15:14,15:14,4,Afternoon
MM_20230808_a-direction-1.results_7,sbc,False,0.5,-2,15:14,15:14,3,Afternoon
MM_20230808_a-direction-1.results_9,bullseye_low_separate,False,0.5,-2,15:14,15:14,5,Afternoon
MM_20230808_a-direction-1.results_11,bullseye_high_freq,True,0.51,-2,15:14,15:15,5,Afternoon
MM_20230808_a-direction-1.results_13,checkerboard_separate,False,0.49,-2,15:15,15:15,5,Afternoon
MM_20230808_a-direction-1.results_15,whites_separate,True,0.49,-2,15:15,15:15,2,Afternoon
MM_20230808_a-direction-1.results_17,sbc_separate,True,0.49,-2,15:15,15:15,5,Afternoon
MM_20230808_a-direction-1.results_19,checkerboard,False,0.51,-2,15:15,15:15,6,Afternoon
MM_20230808_a-direction-1.results_20,whites,True,0.51,-2,15:15,15:15,4,Afternoon
MM_20230808_a-direction-1.results_21,whites_separate,False,0.49,-2,15:15,15:15,3,Afternoon
MM_20230808_a-direction-1.results_22,sbc,True,0.5,-2,15:15,15:15,4,Afternoon
MM_20230808_a-direction-1.results_23,strip,True,0.5,-1,15:15,15:15,7,Afternoon
MM_20230808_a-direction-1.results_24,whites,False,0.51,-2,15:15,15:15,3,Afternoon
MM_20230808_a-direction-1.results_25,checkerboard_separate,True,0.49,-2,15:15,15:16,9,Afternoon
MM_20230808_a-direction-1.results_26,sbc_separate,False,0.49,-2,15:16,15:16,3,Afternoon
MM_20230808_a-direction-1.results_27,checkerboard,True,0.51,1,15:16,15:16,6,Afternoon
MM_20230808_a-direction-0.results_1,whites_separate,False,0.51,-2,15:11,15:11,6,Afternoon
